id,lat,lon,user,timestamp
172817255,31.2030452,121.3360092,XD346,2021-03-30T17:00:23Z
172817276,31.1820961,121.337143,Austin Zhu,2017-01-20T08:48:04Z
172817294,31.1992382,121.3362152,XD346,2021-03-30T17:00:23Z
243843063,31.2535108,121.3866699,yangfl,2011-01-17T13:31:48Z
243843065,31.2528908,121.3864364,yangfl,2011-01-17T13:32:17Z
243843069,31.2525502,121.3862723,zzcolin,2018-06-30T20:34:18Z
243843070,31.2499177,121.384763,yangfl,2011-01-17T13:32:11Z
243843071,31.2487225,121.3840615,yangfl,2011-01-17T13:32:27Z
243843105,31.2406271,121.3792933,zzcolin,2012-04-06T12:30:48Z
243843110,31.2399468,121.3789783,yangfl,2015-08-07T12:15:07Z
243843152,31.2364914,121.3774546,yangfl,2011-02-01T12:04:55Z
243843155,31.2354171,121.3765995,yangfl,2011-02-01T12:04:50Z
243843156,31.2329037,121.3745187,yangfl,2011-02-01T12:04:49Z
243843157,31.2181272,121.3711255,DAJIBA,2011-11-02T06:31:42Z
243843158,31.2136262,121.371946,zzcolin,2013-10-06T10:22:54Z
243843159,31.2176428,121.3760962,shatin,2009-11-12T14:26:34Z
243843160,31.2173549,121.3792827,Funbo,2008-11-25T14:31:06Z
266416035,31.2523279,121.301813,yangfl,2011-04-16T07:58:14Z
266416036,31.2522696,121.3059755,zzcolin,2020-01-27T18:30:58Z
266416037,31.2523109,121.3081021,zzcolin,2020-01-27T18:30:58Z
266416038,31.2524226,121.3110475,yangfl,2011-04-16T07:58:35Z
266416039,31.2527844,121.3187781,yangfl,2011-02-27T00:30:48Z
266416040,31.2527996,121.3190912,yangfl,2011-02-27T00:30:37Z
266416041,31.2530857,121.3260872,yangfl,2011-07-15T02:09:19Z
266416042,31.2530742,121.3267053,yangfl,2011-07-15T02:09:20Z
266416048,31.2532122,121.329293,yangfl,2011-07-15T02:09:20Z
266416050,31.2538575,121.3418256,yangfl,2011-02-27T00:30:38Z
266416051,31.2538388,121.3448607,yangfl,2011-07-20T15:30:14Z
266416052,31.2536247,121.3486272,zzcolin,2019-02-14T18:25:25Z
266416056,31.2519725,121.3677261,yangfl,2011-01-17T13:32:18Z
266416057,31.2516999,121.3703512,yangfl,2011-01-17T13:31:51Z
266416058,31.2513474,121.3728573,yangfl,2011-01-17T13:32:10Z
266416059,31.2510371,121.3746113,yangfl,2011-01-17T13:32:26Z
266416060,31.2506447,121.3764893,yangfl,2011-01-17T13:31:53Z
266416061,31.2498703,121.3796129,zzcolin,2018-06-30T20:34:18Z
266416083,31.253865,121.3431717,zzcolin,2019-02-14T18:25:26Z
266416093,31.2536847,121.3449791,zzcolin,2018-07-01T16:10:38Z
266416094,31.2535003,121.3454713,zzcolin,2018-07-01T16:10:38Z
266416095,31.2531165,121.3460795,yangfl,2011-01-17T13:32:28Z
266416096,31.2523302,121.3466796,zzcolin,2018-07-01T16:10:38Z
266416097,31.2519852,121.3468145,yangfl,2011-01-17T13:32:14Z
266416098,31.2509186,121.3468207,zzcolin,2018-07-01T16:10:38Z
266416099,31.2506543,121.3467314,zzcolin,2018-07-01T16:10:38Z
266416115,31.2480644,121.3455272,yangfl,2011-07-20T15:30:15Z
266416136,31.2471178,121.3450672,zzcolin,2012-06-23T13:55:19Z
266416139,31.2399447,121.3430321,zzcolin,2012-06-23T13:55:19Z
266416143,31.2275601,121.343288,zzcolin,2012-06-23T13:55:19Z
266416146,31.2218886,121.3448678,zzcolin,2012-06-23T13:55:19Z
266416149,31.2170734,121.3473132,zzcolin,2012-06-23T19:19:22Z
266416675,31.2427455,121.326908,zzcolin,2015-04-26T13:59:18Z
266416676,31.2427803,121.3286279,yangfl,2011-07-21T01:47:26Z
266416677,31.243051,121.3311125,yangfl,2011-07-21T01:47:26Z
266416680,31.2442358,121.3383599,yangfl,2011-07-21T01:47:26Z
266416682,31.2443703,121.3396776,yangfl,2011-07-21T01:47:26Z
266416722,31.233297,121.3747291,yangfl,2011-02-01T12:04:50Z
266499199,31.212295,121.3639617,zzcolin,2011-12-04T18:50:35Z
266499202,31.2171017,121.3632766,sykul,2019-11-03T06:58:01Z
266499207,31.2244053,121.3636134,stenive,2020-05-14T09:31:55Z
266728388,31.2501909,121.3787609,zzcolin,2018-06-30T20:34:18Z
266728389,31.2507376,121.3765076,yangfl,2011-01-17T13:32:28Z
266728390,31.2512944,121.3736819,yangfl,2011-01-17T13:32:00Z
266728391,31.2517868,121.3703661,yangfl,2011-01-17T13:32:17Z
266728392,31.2520636,121.3677345,yangfl,2011-01-17T13:32:31Z
266728395,31.2536981,121.3489697,yangfl,2011-07-20T15:30:15Z
266728396,31.2537805,121.3479531,yangfl,2011-07-20T15:30:15Z
266728397,31.2539696,121.3428602,zzcolin,2018-07-01T16:10:38Z
266728398,31.2539627,121.3417912,zzcolin,2018-07-01T16:10:38Z
266728400,31.253444,121.3300631,yangfl,2011-07-15T02:09:20Z
266728405,31.2532928,121.3259671,yangfl,2011-02-27T00:30:54Z
266728406,31.2529725,121.3190256,yangfl,2011-02-27T00:30:39Z
266728407,31.2525973,121.3110564,yangfl,2011-04-16T07:58:19Z
266728408,31.2524418,121.3059751,zzcolin,2020-01-27T18:30:58Z
266728409,31.2525027,121.3018302,yangfl,2011-04-16T07:58:46Z
267101586,31.2290652,121.3728084,yangfl,2011-02-01T12:04:58Z
267101608,31.2153949,121.3715277,yangfl,2011-02-01T12:04:50Z
267101609,31.2144164,121.3716583,yangfl,2011-02-01T12:04:55Z
267101642,31.2128706,121.3723411,zzcolin,2013-10-06T10:22:54Z
267101702,31.2100813,121.3668755,DAJIBA,2011-11-02T06:31:42Z
267101722,31.2111352,121.3677922,aighes,2021-03-30T10:45:44Z
267101723,31.2119916,121.368481,aighes,2021-03-30T10:45:44Z
267101724,31.2132128,121.3692935,aighes,2021-03-30T10:45:44Z
267101726,31.2145534,121.3699896,zzcolin,2013-10-06T10:22:54Z
267101729,31.2162017,121.3708946,zzcolin,2011-12-14T18:14:48Z
267101730,31.2169278,121.3713402,zzcolin,2013-10-06T10:22:54Z
267101731,31.218046,121.3715218,yangfl,2011-02-01T12:11:02Z
267101740,31.2161088,121.371523,yangfl,2011-02-01T12:04:53Z
267101877,31.2247922,121.3822713,zzcolin,2011-10-25T17:17:26Z
267101879,31.2257458,121.3782115,zzcolin,2013-10-06T10:22:54Z
267101881,31.227726,121.3707258,zzcolin,2013-06-12T05:04:53Z
267101882,31.2295253,121.3672046,zzcolin,2013-06-12T04:45:27Z
267101931,31.2272503,121.3719537,zzcolin,2013-10-06T10:22:54Z
267101932,31.2265714,121.3716924,zzcolin,2013-06-12T05:04:53Z
267101933,31.2260014,121.3713242,zzcolin,2013-06-12T05:04:53Z
267101934,31.225213,121.3708391,zzcolin,2013-06-12T05:04:53Z
267101935,31.2246755,121.3705067,zzcolin,2013-06-12T05:04:53Z
267101936,31.2235614,121.3697058,zzcolin,2013-06-12T05:04:53Z
267101937,31.2231717,121.3694294,zzcolin,2013-06-12T05:04:53Z
267101938,31.2224593,121.3691704,lorenzo23622,2020-11-08T20:46:58Z
267699051,31.2079466,121.3649605,calfarome,2016-03-10T15:18:13Z
267802821,31.2169975,121.3475958,zzcolin,2012-06-23T19:19:22Z
267802823,31.2195033,121.3463551,zzcolin,2012-06-23T12:13:50Z
267802826,31.2219659,121.3450824,zzcolin,2012-06-23T13:55:19Z
267802832,31.2275684,121.3435138,zzcolin,2012-06-23T13:55:19Z
267802856,31.2355758,121.3429265,zzcolin,2012-06-23T13:55:19Z
267802902,31.2399082,121.3432601,zzcolin,2012-06-23T13:55:19Z
267802918,31.2470502,121.3452861,zzcolin,2012-06-23T13:55:19Z
267802924,31.2490992,121.3463028,zzcolin,2018-07-01T16:10:38Z
267802925,31.2503059,121.34701,zzcolin,2019-02-14T18:25:26Z
267802926,31.2506044,121.3472175,zzcolin,2018-07-01T16:10:38Z
267802928,31.2526671,121.3499351,yangfl,2011-01-17T13:31:56Z
267802929,31.2536426,121.3507845,yangfl,2011-01-03T06:23:19Z
267802930,31.2539473,121.3507775,yangfl,2011-01-03T06:23:26Z
267802931,31.2542063,121.3506645,yangfl,2011-01-03T06:23:18Z
267802932,31.2544448,121.3504704,yangfl,2011-01-03T06:23:19Z
267802934,31.2546281,121.350211,yangfl,2011-01-03T06:23:17Z
267802935,31.254736,121.3499594,yangfl,2011-01-03T06:23:26Z
267802936,31.2547773,121.3496493,yangfl,2011-01-03T06:23:26Z
267802938,31.2547623,121.349307,yangfl,2011-01-03T06:23:20Z
267802941,31.2543244,121.3476216,zzcolin,2018-07-01T16:10:38Z
267802942,31.2541353,121.3467889,yangfl,2011-07-20T15:30:15Z
302629542,31.2618099,121.2434358,sfrank,2009-04-02T16:42:11Z
302629545,31.2613268,121.238104,DAJIBA,2011-11-02T07:53:14Z
302630209,31.2598925,121.2565407,FreedSky,2013-12-10T09:07:57Z
302630210,31.2607782,121.2538428,aighes,2016-03-22T14:48:40Z
302630211,31.2618099,121.248929,sfrank,2009-04-02T16:42:11Z
302630214,31.2621034,121.2460107,sfrank,2009-04-02T16:42:11Z
302630216,31.2617386,121.2363337,DAJIBA,2011-11-02T07:53:14Z
302630217,31.263162,121.2346654,DAJIBA,2011-11-02T07:53:14Z
321966966,31.2256209,121.342473,sykul,2019-11-03T10:51:36Z
321966967,31.2257304,121.3404435,yangfl,2010-10-01T05:13:03Z
321966968,31.2260808,121.3354582,zzcolin,2020-10-05T17:18:03Z
321966969,31.2260559,121.3333797,zzcolin,2012-06-23T15:33:26Z
321966970,31.2259563,121.3313963,zzcolin,2020-10-05T17:18:03Z
321980974,31.210688,121.3580164,zzcolin,2013-10-06T10:22:54Z
321980976,31.2129868,121.3572462,yangfl,2011-01-03T09:31:41Z
321980977,31.2142609,121.356795,yangfl,2011-01-03T09:31:40Z
321980978,31.2163404,121.3563889,zzcolin,2012-06-23T12:13:50Z
321981078,31.2200413,121.3564718,yangfl,2011-01-03T09:31:46Z
321981081,31.2204395,121.3511419,aighes,2016-06-11T04:19:52Z
321981085,31.2206211,121.3483121,zzcolin,2012-06-23T12:13:50Z
321981238,31.2237621,121.3447041,zzcolin,2012-06-23T12:39:29Z
321981239,31.2243042,121.3444321,zzcolin,2012-06-23T17:27:46Z
322005195,31.2535008,121.329775,James Millar,2017-03-03T04:37:42Z
322005196,31.2537714,121.3287815,James Millar,2017-03-03T04:37:42Z
322005197,31.2533265,121.3264224,yangfl,2011-02-27T00:30:53Z
322005691,31.2195854,121.3011428,zzcolin,2018-12-28T18:35:28Z
322005696,31.2222762,121.312775,yangfl,2010-10-01T05:12:59Z
322005698,31.2226138,121.3136621,yangfl,2010-10-01T05:13:03Z
322005699,31.2228402,121.3144582,yangfl,2010-10-01T05:13:02Z
322005702,31.2235959,121.3197115,yangfl,2010-10-01T05:13:00Z
322005737,31.2253244,121.3295178,stenive,2016-06-19T12:51:55Z
322005740,31.2255861,121.3314569,zzcolin,2020-10-05T17:18:03Z
322005742,31.2257351,121.3333568,zzcolin,2012-06-23T15:33:27Z
322005743,31.2257539,121.3354538,zzcolin,2020-10-05T17:18:03Z
322005744,31.2253871,121.3405159,yangfl,2010-10-01T05:13:01Z
322005745,31.225313,121.3425219,sykul,2019-11-03T10:51:36Z
322006468,31.2206632,121.3478842,zzcolin,2012-06-23T19:19:22Z
322006469,31.2210732,121.3424752,zzcolin,2020-10-05T17:18:03Z
322006535,31.2211632,121.3423801,zzcolin,2020-10-05T17:18:03Z
322006536,31.2212819,121.3423724,sykul,2021-01-01T10:55:28Z
322006537,31.221447,121.3424368,zzcolin,2020-10-05T17:18:03Z
322006538,31.2215214,121.3426241,zzcolin,2020-10-05T17:18:03Z
322006539,31.2214589,121.3428008,zzcolin,2020-10-05T17:18:03Z
322006540,31.2213076,121.3428575,zzcolin,2020-10-05T17:18:03Z
322006541,31.2211507,121.3431407,zzcolin,2020-10-05T17:18:03Z
322006543,31.2210465,121.3447177,zzcolin,2020-10-05T17:18:03Z
322006544,31.2210022,121.3448702,zzcolin,2020-10-05T17:18:03Z
322006545,31.2209033,121.3449958,zzcolin,2020-10-05T17:18:03Z
322006546,31.2205747,121.3451837,zzcolin,2020-10-05T17:18:03Z
322388683,31.2113019,121.3380776,Austin Zhu,2017-01-20T08:48:04Z
322388733,31.2139637,121.3354181,Austin Zhu,2017-01-20T08:48:04Z
366339085,31.2617893,121.3524556,yangfl,2011-01-03T06:23:26Z
366339092,31.2564959,121.3498022,yangfl,2011-07-20T15:30:15Z
366339373,31.2564443,121.3499808,yangfl,2011-07-20T15:30:15Z
366339436,31.2533852,121.3525167,zzcolin,2019-02-14T18:25:26Z
366339568,31.2534658,121.3520251,zzcolin,2018-07-01T16:10:38Z
366339569,31.2535298,121.3515853,zzcolin,2018-07-01T16:10:38Z
366339570,31.2536271,121.3508678,zzcolin,2018-07-01T16:10:38Z
366339572,31.2538663,121.3501194,yangfl,2011-01-17T13:32:09Z
366339573,31.2539814,121.3499618,yangfl,2011-01-17T13:32:25Z
366339575,31.2540987,121.3498211,yangfl,2011-01-17T13:32:14Z
366339577,31.2542318,121.3497004,yangfl,2011-01-17T13:32:00Z
366339578,31.2548473,121.3494722,yangfl,2011-01-17T13:32:17Z
366339579,31.2549751,121.3494885,yangfl,2011-01-17T13:31:50Z
366339631,31.2547454,121.3485167,yangfl,2011-07-20T15:30:15Z
366339632,31.25488,121.3487165,yangfl,2011-01-03T06:23:17Z
366339634,31.2552187,121.3490389,zzcolin,2019-02-14T18:25:26Z
366339635,31.249208,121.3461287,yangfl,2011-07-20T15:30:15Z
366339807,31.2538493,121.3469903,yangfl,2011-07-20T15:30:16Z
366339948,31.2489953,121.3460188,yangfl,2011-07-20T15:30:16Z
366340052,31.2536797,121.3479417,yangfl,2011-07-20T15:30:16Z
366340061,31.2528671,121.3478566,zzcolin,2019-02-14T18:25:26Z
366340062,31.2526437,121.3476161,yangfl,2011-07-20T15:30:16Z
366340063,31.2525501,121.3472699,yangfl,2011-07-20T15:30:16Z
366340064,31.2526424,121.3469037,yangfl,2011-07-20T15:30:16Z
366340065,31.2527354,121.3467677,yangfl,2011-07-20T15:30:16Z
366340067,31.2528483,121.3466708,sfrank,2009-03-27T20:54:33Z
366340068,31.2531275,121.3465852,yangfl,2011-07-20T15:30:16Z
366340070,31.2532658,121.3466064,yangfl,2011-07-20T15:30:16Z
366340071,31.2533999,121.3466833,yangfl,2011-07-20T15:30:16Z
366340073,31.2535987,121.3469687,zzcolin,2018-07-01T16:10:38Z
366340265,31.2537215,121.3501641,zzcolin,2018-07-01T16:10:38Z
